Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Management,LP-1,10037,Epic,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,01/Apr/26 11:29 AM,01/Apr/26 11:41 AM,02/Apr/26 10:13 AM,,06/Apr/26 12:00 AM,0,User related Tasks ,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fe90d53,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i00013:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,01/Apr/26 11:29 AM
USER SHOULD BE ABLE TO SIGNUP,LP-2,10038,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,01/Apr/26 11:33 AM,01/Apr/26 11:39 AM,02/Apr/26 10:46 AM,,,0,USER SHOULD BE ABLE TO SIGNUP AND REGISTER,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37f2f6b2,,,,,,,,,,,,,,,,0|i0001b:,,,LP Sprint 1,,,,,,,,,,,,,10037,LP-1,User Management,To Do,01/Apr/26 11:33 AM
USER SHOULD BE ABLE TO SIGNUP USING SOCIAL LOGIN,LP-3,10039,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,01/Apr/26 11:33 AM,01/Apr/26 11:39 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f837450,,,,,,,,,,,,,,,,0|i0001j:,,,LP Sprint 1,,,,,,,,,,,,,10037,LP-1,User Management,To Do,01/Apr/26 11:33 AM
USER SHOULD BE ABLE TO LOGIN USING MOBILE AND EMAIL,LP-4,10040,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,01/Apr/26 11:34 AM,02/Apr/26 9:59 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c2999b,,,,,,,,,,,,,,,,0|i0001r:,,,LP Sprint 1,,,,,,,,,,,,,10037,LP-1,User Management,To Do,01/Apr/26 11:34 AM
HOME_PAGE_DASHBOARD,LP-5,10041,Epic,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,01/Apr/26 11:40 AM,01/Apr/26 11:40 AM,,,11/Apr/26 12:00 AM,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ce1a630,,,,,ghx-label-12,,To Do,,,,grey,,,,,0|i0001z:,,,,,,,,,,,,,,,,,,,To Do,01/Apr/26 11:40 AM
USER SHOULD BE ABLE TO NAVIGATE TO DASHBOARD,LP-6,10074,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,01/Apr/26 3:10 PM,02/Apr/26 9:59 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b55a59c,,,,,,,,,,,,,,,,0|i00027:,,,LP Sprint 1,,,,,,,,,,,,,10041,LP-5,HOME_PAGE_DASHBOARD,To Do,01/Apr/26 3:10 PM
USER SHOULD BE ABLE TO MANAGE HIS PROFILE,LP-7,10107,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 9:55 AM,02/Apr/26 9:59 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b32952e,,,,,,,,,,,,,,,,0|i0002f:,,,LP Sprint 1,,,,,,,,,,,,,10041,LP-5,HOME_PAGE_DASHBOARD,To Do,02/Apr/26 9:55 AM
COURSE_PAGE,LP-8,10108,Epic,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 9:56 AM,02/Apr/26 9:56 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ff74d74,,,,,ghx-label-10,,To Do,,,,blue,,,,,0|i0002n:,,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 9:56 AM
USER SHOULD BE ABLE TO NAVIGATE TO HEADER SECTION,LP-12,10112,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:00 AM,02/Apr/26 10:08 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@452b5099,,,,,,,,,,,,,,,,0|i0002r:,,,LP Sprint 1,,,,,,,,,,,,,10041,LP-5,HOME_PAGE_DASHBOARD,To Do,02/Apr/26 10:00 AM
USER SHOULD BE ABLE TO NAVIGATE TO COUSE PAGE,LP-9,10109,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 9:57 AM,02/Apr/26 9:59 AM,02/Apr/26 10:01 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@562cb3cb,,,,,,,,,,,,,,,,0|i0002v:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 9:57 AM
USER SHOULD BE ABLE TO VIEW COUSE DETAILS,LP-10,10110,Story,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 9:57 AM,02/Apr/26 9:58 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6b10f77d,,,,,,,,,,,,,,,,0|i00033:,,,LP Sprint 1,,,,,,,,,,,,,10108,LP-8,COURSE_PAGE,To Do,02/Apr/26 9:57 AM
